"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年6月28日","28,542.62","28,632.59","28,632.59","28,416.96","1.53B","-0.28%"
"2019年6月27日","28,621.42","28,352.94","28,621.42","28,287.34","1.73B","1.42%"
"2019年6月26日","28,221.98","28,046.16","28,267.98","27,985.98","1.48B","0.13%"
"2019年6月25日","28,185.98","28,447.96","28,470.10","28,066.13","1.91B","-1.15%"
"2019年6月24日","28,513.00","28,400.63","28,634.48","28,358.06","1.38B","0.14%"
"2019年6月21日","28,473.71","28,581.51","28,581.51","28,359.25","2.24B","-0.27%"
"2019年6月20日","28,550.43","28,308.85","28,563.08","28,258.02","1.88B","1.23%"
"2019年6月19日","28,202.14","28,224.87","28,224.87","28,022.49","2.14B","2.56%"
"2019年6月18日","27,498.77","27,289.70","27,584.12","27,201.02","1.60B","1.00%"
"2019年6月17日","27,227.16","27,252.45","27,503.10","27,227.16","1.53B","0.40%"
"2019年6月14日","27,118.35","27,180.74","27,275.88","27,051.75","2.09B","-0.65%"
"2019年6月13日","27,294.71","27,217.72","27,294.71","26,825.35","1.90B","-0.05%"
"2019年6月12日","27,308.46","27,603.12","27,603.12","27,222.03","1.92B","-1.73%"
"2019年6月11日","27,789.34","27,677.06","27,857.85","27,577.91","1.88B","0.76%"
"2019年6月10日","27,578.64","27,206.61","27,606.42","27,155.03","2.34B","2.27%"
"2019年6月6日","26,965.28","26,935.87","26,984.02","26,837.67","1.65B","0.26%"
"2019年6月5日","26,895.44","27,116.08","27,119.48","26,803.66","1.95B","0.50%"
"2019年6月4日","26,761.52","26,994.08","26,994.08","26,671.90","1.57B","-0.49%"
"2019年6月3日","26,893.86","26,909.71","26,968.10","26,735.48","1.77B","-0.03%"
"2019年5月31日","26,901.09","27,002.96","27,155.36","26,850.27","1.89B","-0.79%"
"2019年5月30日","27,114.88","27,319.25","27,319.25","27,020.73","1.94B","-0.44%"
"2019年5月29日","27,235.71","27,226.95","27,429.37","27,178.71","2.31B","-0.57%"
"2019年5月28日","27,390.81","27,274.83","27,490.55","27,230.09","3.14B","0.38%"
"2019年5月27日","27,288.09","27,239.08","27,371.35","27,105.22","1.30B","-0.24%"
"2019年5月24日","27,353.93","27,368.68","27,457.59","27,291.94","1.73B","0.32%"
"2019年5月23日","27,267.13","27,505.53","27,523.86","27,169.67","2.29B","-1.58%"
"2019年5月22日","27,705.94","27,753.54","27,828.81","27,640.62","1.76B","0.18%"
"2019年5月21日","27,657.24","27,671.40","27,915.16","27,598.06","2.30B","-0.47%"
"2019年5月20日","27,787.61","27,959.23","27,999.60","27,699.23","2.33B","-0.57%"
"2019年5月17日","27,946.46","28,428.00","28,428.00","27,909.73","1.98B","-1.16%"
"2019年5月16日","28,275.07","28,117.48","28,379.37","28,050.78","2.45B","0.02%"
"2019年5月15日","28,268.71","28,171.32","28,441.49","28,171.32","2.31B","0.52%"
"2019年5月14日","28,122.02","27,951.12","28,205.96","27,925.62","2.96B","-1.50%"
"2019年5月10日","28,550.24","28,462.34","28,833.45","28,203.22","2.50B","0.84%"
"2019年5月9日","28,311.07","28,839.35","28,891.11","28,281.98","3.00B","-2.39%"
"2019年5月8日","29,003.20","28,987.09","29,252.00","28,945.91","2.25B","-1.23%"
"2019年5月7日","29,363.02","29,313.58","29,480.04","29,156.45","2.06B","0.52%"
"2019年5月6日","29,209.82","29,342.38","29,384.01","28,956.47","3.02B","-2.90%"
