,trade_date,open,close,high,low,pre_close,change,pct_chg,ts_code
355,20181207,26249.81,26063.76,26280.66,26055.78,26156.38,-92.62,-0.3541,HSI
356,20181206,26349.42,26156.38,26381.12,26016.09,26819.68,-663.3,-2.4732,HSI
357,20181205,26745.69,26819.68,26914.87,26745.69,27260.44,-440.76,-1.6168,HSI
358,20181204,27119.19,27260.44,27260.44,26984.71,27182.04,78.4,0.2884,HSI
359,20181203,27185.66,27182.04,27259.43,27006.83,26506.75,675.29,2.5476,HSI
360,20181130,26506.09,26506.75,26683.25,26396.62,26451.03,55.72,0.2107,HSI
361,20181129,26904.21,26451.03,26923.33,26399.81,26682.56,-231.53,-0.8677,HSI
362,20181128,26406.68,26682.56,26705.3,26332.66,26331.96,350.6,1.3315,HSI
363,20181127,26345.37,26331.96,26417.84,26158.97,26376.18,-44.22,-0.1677,HSI
364,20181126,26099.35,26376.18,26413.76,26031.9,25927.68,448.5,1.7298,HSI
365,20181123,25950.07,25927.68,25983.25,25807.26,26019.41,-91.73,-0.3525,HSI
366,20181122,26139.39,26019.41,26139.39,25873.38,25971.47,47.94,0.1846,HSI
367,20181121,25496.85,25971.47,25998.28,25494.51,25840.34,131.13,0.5075,HSI
368,20181120,26043.51,25840.34,26132.29,25776.22,26372.0,-531.66,-2.016,HSI
369,20181119,26278.87,26372.0,26397.39,26146.39,26183.53,188.47,0.7198,HSI
370,20181116,26041.56,26183.53,26197.31,25850.04,26103.34,80.19,0.3072,HSI
371,20181115,25862.18,26103.34,26127.14,25611.72,25654.43,448.91,1.7498,HSI
372,20181114,25874.36,25654.43,25874.36,25489.86,25792.87,-138.44,-0.5367,HSI
373,20181113,25092.3,25792.87,25792.87,25092.3,25633.18,159.69,0.623,HSI
374,20181112,25576.28,25633.18,25765.96,25505.33,25601.92,31.26,0.1221,HSI
375,20181109,25925.09,25601.92,25925.09,25475.32,26227.72,-625.8,-2.386,HSI
376,20181108,26491.27,26227.72,26491.27,26141.25,26147.69,80.03,0.3061,HSI
377,20181107,26125.09,26147.69,26530.87,25920.72,26120.96,26.73,0.1023,HSI
378,20181106,26062.24,26120.96,26159.83,25826.69,25934.39,186.57,0.7194,HSI
379,20181105,26050.34,25934.39,26146.81,25747.52,26486.35,-551.96,-2.0839,HSI
380,20181102,25980.44,26486.35,26486.35,25909.71,25416.0,1070.35,4.2113,HSI
381,20181101,25228.75,25416.0,25535.12,25190.9,24979.69,436.31,1.7467,HSI
382,20181031,24752.83,24979.69,24979.69,24700.11,24585.53,394.16,1.6032,HSI
383,20181030,24765.12,24585.53,24939.18,24540.63,24812.04,-226.51,-0.9129,HSI
